id	title	revenue	vote_count	vote_average	popularity
9095	Mary Reilly	12379402	77	5.7	12.866139
12158	Vampire in Brooklyn	19800000	113	4.5	9.071127
9283	Beautiful Girls	0	103	6.6	4.670562
9208	Broken Arrow	150270147	459	5.7	14.957626000000001
40154	A Midwinter's Tale	0	6	7.5	0.5133909999999999
406	La Haine	0	695	7.9	12.108196000000001
45549	Shopping	0	13	5.6	2.6576470000000003
63076	Heidi Fleiss: Hollywood Madam	0	4	6.8	0.638211
11062	City Hall	0	67	6.0	4.8072230000000005
13685	Bottle Rocket	560069	285	6.8	6.904831
47475	Mr. Wrong	0	16	3.3	3.329264
2045	Unforgettable	0	22	5.3	2.464425
9614	Happy Gilmore	41205099	767	6.5	9.592265
688	The Bridges of Madison County	182016617	397	7.3	5.951077
11907	Nobody Loves Me	0	5	5.1	1.015068
10874	Muppet Treasure Island	34327391	93	6.5	6.902423
89333	Catwalk	0	2	7.0	0.976707
96357	Headless Body in Topless Bar	0	0	0.0	0.0013460000000000002
197	Braveheart	210000000	3404	7.7	20.755149
103	Taxi Driver	28262574	2632	8.1	14.092713
33542	Rumble in the Bronx	32392047	245	6.5	12.314278
43566	Before and After	0	37	5.8	2.938293
71754	Margaret's Museum	0	2	7.5	0.372697
43612	Happiness Is in the Field	0	23	7.0	1.254885
51352	Anne Frank Remembered	1	4	7.3	0.243986
16934	The Young Poisoner's Handbook	0	19	6.9	6.178497
10324	If Lucy Fell	0	11	5.4	2.891918
78406	Steal Big Steal Little	6278139	7	5.1	1.522412
55731	Race the Sun	0	21	5.2	1.317878
32119	The Boys of St. Vincent	0	7	7.0	0.86539
11066	Boomerang	70100000	139	5.4	6.506983
11104	Chungking Express	0	249	7.9	6.778979
37975	The Star Maker	0	29	6.8	1.702639
2074	Flirting with Disaster	14702438	66	6.3	5.579088
27793	The Neverending Story III: Escape from Fantasia	0	105	4.4	6.252377
44284	The Silences of the Palace	0	3	4.3	0.406754
290157	Jupiter's Wife	0	0	0.0	0.001178
110972	Pie in the Sky	0	2	7.0	0.699066
32622	Angela	0	9	5.6	2.197439
73067	Frankie Starlight	0	4	5.4	0.637554
11863	Jade	9851610	45	5.1	11.418917
55475	Nueba Yol	0	1	5.5	0.29102100000000003
124636	Sonic Outlaws	0	0	0.0	0.001838
9101	Down Periscope	0	110	5.6	5.184977
123360	From the Journals of Jean Seberg	0	2	6.5	0.276401
5757	Man of the Year	209935	2	3.8	0.5404359999999999
39428	The Neon Bible	0	5	7.2	0.370342
124639	Target	0	0	0.0	0.0012050000000000001
9302	Up Close & Personal	0	51	5.9	3.4027489999999996
11000	The Birdcage	185260553	303	6.7	6.499680000000001
249882	Virgin Mary	0	2	7.0	0.9185040000000001
16388	The Brothers McMullen	0	23	6.3	2.039196
9737	Bad Boys	141407024	1729	6.5	9.262184
30765	The Amazing Panda Adventure	0	31	5.0	2.375865
10474	The Basketball Diaries	0	472	7.2	7.415144000000001
22279	An Awfully Big Adventure	851545	11	6.0	0.922958
30157	Amateur	0	21	6.5	1.7590119999999998
568	Apollo 13	355237933	1637	7.3	18.761467
11780	Rob Roy	31596911	151	6.5	10.193549
34996	The Addiction	0	46	6.4	3.137285
414	Batman Forever	336529144	1529	5.2	13.321354000000001
649	Belle de Jour	0	163	7.3	10.142662
1873	Beyond Rangoon	0	21	6.4	2.04189
5894	Blue in the Face	1275000	28	6.8	11.528147
1775	Canadian Bacon	178104	57	5.9	5.391556
8839	Casper	287928194	1045	6.0	12.812539
20649	Clockers	13071518	69	6.8	4.558992
10329	Congo	152022101	214	5.0	7.260574
8963	Crimson Tide	157387195	508	7.0	8.657364999999999
26564	Crumb	3174695	71	7.6	3.6203879999999997
8068	Desperado	25405445	898	6.8	6.950458
8512	Devil in a Blue Dress	16140822	88	6.3	4.646132
1572	Die Hard: With a Vengeance	366101666	2094	6.9	15.138855
13552	The Doom Generation	0	57	5.6	7.120806
259209	Feast of July	0	0	0.0	0.523575
6520	First Knight	127600435	319	5.9	15.178338
9073	Free Willy 2 - The Adventure Home	0	130	5.5	7.575098
10428	Hackers	7563728	406	6.2	14.810519000000001
17447	Jeffrey	0	19	6.5	3.196456
9886	Johnny Mnemonic	19075720	380	5.5	11.715867999999999
9482	Judge Dredd	113493481	643	5.4	8.184814999999999
19326	Jury Duty	17014653	34	4.0	3.676921
9344	Kids	7412216	280	6.8	4.877872
9071	Living in Oblivion	1148752	64	7.2	10.058328999999999
8973	Lord of Illusions	0	87	5.9	4.102409
15730	Love & Human Remains	0	7	7.0	0.354014
47608	Mad Love	15453274	27	5.5	2.624771
2293	Mallrats	2122561	400	6.8	8.255469999999999
9070	Mighty Morphin Power Rangers: The Movie	66000000	153	5.2	7.024227000000001
68274	Moonlight and Valentino	0	10	5.6	1.01115
48787	Mute Witness	1	36	6.4	2.466066
34574	Nadja	0	12	5.9	7.720056
1642	The Net	110627965	359	5.6	13.304342000000002
11472	Nine Months	69660733	171	5.5	8.482834
36196	Party Girl	472370	14	5.8	1.165039
11980	The Prophecy	16	139	6.4	10.187623
58372	Reckless	0	1	10.0	0.11971300000000001
32646	Safe	0	62	7.2	8.180047
10533	The Scarlet Letter	10382407	111	5.5	6.752119
56088	The Show	0	2	5.3	0.15959600000000002
10802	Showgirls	20350754	261	4.9	17.502375
10149	Smoke	8349430	115	7.2	5.5529459999999995
18402	Something to Talk About	50892160	60	5.7	3.743212
9348	Species	113374103	457	5.5	13.492845
139408	The Stars Fell on Henrietta	0	6	6.6	0.913522
281	Strange Days	7959291	334	6.8	11.223055
5967	The Umbrellas of Cherbourg	0	119	7.6	8.133881
79593	The Tie That Binds	5780000	9	4.6	1.8204189999999998
47939	Three Wishes	7025496	18	6.1	11.002046
36834	Total Eclipse	339889	112	6.5	4.546551999999999
9090	To Wong Foo, Thanks for Everything! Julie Newmar	47774193	117	6.3	7.653446000000001
3512	Under Siege 2: Dark Territory	104324083	217	5.6	7.490247
52856	Unstrung Heroes	0	9	6.4	2.8816889999999997
77350	Unzipped	0	6	6.0	0.7860229999999999
9560	A Walk in the Clouds	50012507	168	6.5	9.715639
9804	Waterworld	264218220	1017	5.9	16.885184
31611	White Man's Burden	0	25	5.1	1.8340990000000001
65796	Wild Bill	0	27	5.9	8.922139
49805	The Browning Version	0	11	6.0	3.727644
26258	Bushwhacked	0	29	4.9	3.287036
50797	Burnt by the Sun	2616503	35	6.7	2.4860729999999998
19155	Before the Rain	763847	45	7.7	3.5256489999999996
76	Before Sunrise	5535405	984	7.7	11.304979
11017	Billy Madison	26488734	464	6.2	6.638116
37141	The Babysitter	0	27	4.7	2.761837
9382	Boys on the Side	23450000	48	6.3	3.030309
6715	The Cure	0	58	7.2	2.686342
18256	Castle Freak	0	40	5.8	2.2697700000000003
22625	Circle of Friends	0	30	6.5	2.605521
2292	Clerks	3151130	769	7.4	10.513367
1909	Don Juan DeMarco	22200000	184	6.3	7.438934
8984	Disclosure	214015089	217	5.9	11.812244
61813	Dream Man	0	1	2.5	0.155859
4954	Drop Zone	0	91	5.1	9.579155
62488	Destiny Turns on the Radio	0	9	5.3	0.710671
10531	Death and the Maiden	0	92	7.1	5.484156
11929	Dolores Claiborne	0	183	7.1	5.8025
8467	Dumb and Dumber	247275374	1894	6.5	9.844558000000001
10451	Eat Drink Man Woman	7294403	76	7.5	4.860016000000001
20156	Exotica	0	64	6.5	5.378467
18395	Exit to Eden	6841570	28	4.3	4.322726
522	Ed Wood	5887457	639	7.3	11.720358000000001
397	French Kiss	0	179	6.2	9.146544
10525	Forget Paris	0	38	6.1	16.236745000000003
27985	Far from Home: The Adventures of Yellow Dog	0	27	5.6	2.657337
15789	A Goofy Movie	35348597	404	6.7	10.177977
27303	Hideaway	12201255	24	5.0	8.182165
21183	Fluke	0	48	6.6	4.953936
10954	Farinelli	0	20	5.9	8.935058
47867	Gordy	3992809	4	3.0	0.398924
43475	Gumby: The Movie	0	2	5.0	0.090452
72031	The Glass Shield	0	9	5.4	1.012197
14275	Hoop Dreams	7830611	91	7.7	9.47666
1024	Heavenly Creatures	3049135	299	6.9	9.438042
17207	Houseguest	26325256	17	6.0	2.688562
13701	Immortal Beloved	0	90	6.9	7.983666
14819	Heavyweights	17689177	97	6.0	9.546707000000001
32631	The Hunted	0	25	6.0	2.756986
11777	I.Q.	0	112	5.9	5.146351999999999
628	Interview with the Vampire	223664608	1558	7.2	11.970205
87729	Jefferson in Paris	2474000	10	5.2	1.596058
18713	The Jerky Boys	0	10	4.8	0.748846
6280	Junior	37000000	381	4.7	6.710215
9061	Just Cause	0	124	6.0	9.195256
37108	A Kid in King Arthur's Court	0	40	4.3	5.874511
6071	Kiss of Death	0	83	5.7	7.797511999999999
11	Star Wars	775398007	6778	8.1	42.149696999999996
9587	Little Women	0	222	7.0	9.774994
19101	A Little Princess	0	207	7.4	7.731725
49980	Ladybird Ladybird	0	14	7.4	0.8450799999999999
17961	L'Enfer	0	22	6.6	1.9483150000000002
18183	Like Water for Chocolate	21665468	70	6.6	4.126083
4476	Legends of the Fall	160638883	636	7.2	12.199047
11008	Major Payne	0	164	6.1	9.253362
47504	Little Odessa	0	31	6.4	1.8612919999999997
32325	Mi Vida Loca	0	9	5.7	1.788829
43742	Love Affair	0	11	4.3	3.290192
28313	Losing Isaiah	7603766	28	6.4	7.698525999999999
11318	The Madness of King George	0	67	6.7	4.81307
3036	Mary Shelley's Frankenstein	112006296	272	6.1	14.287753
40490	Man of the House	0	40	5.1	2.558118
24070	Mixed Nuts	0	37	5.2	2.899608
8986	Milk Money	18137661	49	5.6	3.770115
10510	Miracle on 34th Street	46264384	199	6.4	5.831622
17402	Miami Rhapsody	5	7	5.6	1.1372659999999999
38722	My Family	0	11	7.0	3.1212880000000003
8438	Murder in the First	17381942	140	6.9	9.518564
11593	Nobody's Fool	0	56	7.0	2.891269
1945	Nell	106683817	128	6.1	5.930957
39310	New Jersey Drive	0	7	6.9	0.629955
109560	New York Cop	0	0	0.0	0.004536999999999999
56428	Beyond Bedlam	0	4	4.0	0.42695200000000005
63105	Nemesis 2 - Nebula	0	10	4.6	1.466491
131957	Nina Takes a Lover	0	4	7.4	0.769522
241	Natural Born Killers	50282766	927	6.9	11.226856
9058	Only You	0	92	6.4	4.936761
527	Once Were Warriors	2201126	106	7.6	4.025276
18220	Poison Ivy II: Lily	0	32	4.6	6.448039
6950	Outbreak	189859560	522	6.4	13.676444
101	Leon: The Professional	45284974	4293	8.2	20.477329
63020	The Perez Family	2832826	9	6.6	1.4335440000000002
2307	A Pyromaniac's Love Story	0	2	7.0	0.46330699999999997
680	Pulp Fiction	213928762	8670	8.3	140.95023600000002
41478	Panther	6834525	6	6.4	7.1601490000000005
25296	Pushing Hands	152322	9	6.1	1.638622
40156	Priest	4176932	32	6.4	1.881932
11450	Quiz Show	0	262	7.1	7.772505000000001
30304	Picture Bride	0	5	7.4	1.296912
10452	Queen Margot	0	67	7.0	4.405405
12106	The Quick and the Dead	18552460	431	6.2	7.54701
161495	Roommates	12400000	7	6.4	3.395867
3586	Prêt-à-Porter	11300653	33	5.3	6.2594330000000005
110	Three Colors: Red	0	246	7.8	7.832755000000001
108	Three Colors: Blue	0	311	7.7	8.843517
109	Three Colors: White	0	218	7.3	6.5898
159185	Red Firecracker, Green Firecracker	0	2	7.0	0.07825700000000001
36357	Rent-a-Kid	0	15	5.1	1.155255
92769	Relative Fear	0	3	4.7	0.499601
28033	Stuart Saves His Family	0	6	5.0	1.390885
22586	The Swan Princess	9771658	251	6.5	8.910461999999999
14334	The Secret of Roan Inish	0	15	6.1	1.7504810000000002
2636	The Specialist	170362582	317	5.5	10.388183
2164	Stargate	196567262	942	6.8	13.328923999999999
11395	The Santa Clause	189833357	501	6.3	9.665424
278	The Shawshank Redemption	28341469	8358	8.5	51.645403
9905	Shallow Grave	0	247	7.0	8.223025999999999
87078	Suture	102780	7	6.0	1.298224
12527	Strawberry and Chocolate	0	16	7.1	1.7771970000000001
20306	Swimming with Sharks	0	104	6.7	5.869261
36614	The Sum of Us	0	21	6.0	1.407427
27993	Senior Trip	0	23	5.7	5.05806
31439	To Live	0	62	7.7	5.2606269999999995
9067	Tank Girl	4064495	140	5.5	7.602086999999999
9059	Tales from the Crypt: Demon Knight	0	96	6.7	9.455342
193	Star Trek: Generations	120000000	461	6.4	8.105708
25066	Tales from the Hood	12000000	33	5.4	2.86007
46797	Tom & Viv	0	8	5.8	0.7042039999999999
12122	Village of the Damned	0	165	5.6	6.529879
11381	Tommy Boy	32648673	321	6.8	11.971318
32636	Vanya on 42nd Street	0	15	6.1	7.039846000000001
36141	The Underneath	0	15	5.6	2.059771
95963	The Walking Dead	0	4	6.6	0.620873
1587	What's Eating Gilbert Grape	10032765	943	7.5	10.3919
9271	Virtuosity	24048000	163	5.4	5.1883989999999995
2064	While You Were Sleeping	182057016	340	6.5	15.783615
19855	The War	0	39	6.3	3.9085959999999997
60855	Double Happiness	759393	2	5.5	0.372239
236	Muriel's Wedding	15119639	104	6.9	5.254847
48287	The Baby-Sitters Club	0	23	5.3	2.15805
3049	Ace Ventura: Pet Detective	107217396	1684	6.4	11.247957000000001
2759	The Adventures of Priscilla, Queen of the Desert	11220670	174	7.2	8.328596000000001
12635	Backbeat	0	37	6.2	2.487951
10497	Bitter Moon	1862805	115	7.0	11.298195
11382	Bullets Over Broadway	0	130	7.0	5.72288
9331	Clear and Present Danger	215887717	390	6.4	7.5132449999999995
10731	The Client	117615211	287	6.4	15.263829000000001
10464	Corrina, Corrina	0	83	6.4	6.924689
34152	Crooklyn	0	31	6.7	2.5330220000000003
9495	The Crow	94000000	980	7.3	15.799335999999998
29973	Cobb	1007583	29	6.1	2.5833630000000003
888	The Flintstones	341631208	559	5.0	15.019585999999999
13	Forrest Gump	677945399	8147	8.2	48.307194
712	Four Weddings and a Funeral	254700832	654	6.6	8.990345
16295	Higher Learning	38290723	49	6.4	7.817811
48992	I Like It Like That	1777020	4	6.3	0.28929499999999997
10879	I Love Trouble	61947267	41	5.3	3.570874
10660	It Could Happen to You	0	154	6.1	11.272072999999999
10714	The Jungle Book	0	107	5.9	10.714235
41647	The Wonderful, Horrible Life of Leni Riefenstahl	449707	5	7.3	0.5688840000000001
8587	The Lion King	788241776	5520	8.0	21.605760999999998
1689	Little Buddha	4858139	76	6.0	5.681522
11596	New Nightmare	18090181	297	6.4	9.860522
854	The Mask	351583407	2550	6.6	14.134879999999999
9359	Maverick	0	490	6.6	15.050326
23333	Mrs. Parker and the Vicious Circle	0	20	6.3	4.739054
36593	The Naked Gun 33⅓: The Final Insult	51132598	535	6.4	10.587232
12280	The Paper	0	40	6.1	4.006063
2788	Reality Bites	20079850	180	6.5	6.5145919999999995
10427	Red Rock West	2000000	71	6.4	5.137903
11011	Ri¢hie Ri¢h	0	426	5.4	6.595255
49803	Safe Passage	0	7	4.9	4.931565
8987	The River Wild	0	214	6.1	10.511241
1637	Speed	350448145	1814	6.8	10.859292
15128	Speechless	0	24	5.5	2.3342259999999997
8831	Timecop	101646581	288	5.5	8.907074
36955	True Lies	378882411	1138	6.8	11.396099000000001
10449	When a Man Loves a Woman	50021959	71	6.0	4.322544000000001
10395	Wolf	0	221	6.0	14.063845
12160	Wyatt Earp	25052000	203	6.5	9.277147
40480	Bad Company	0	12	4.9	0.912415
52038	A Man of No Importance	953	2	6.5	0.406113
29444	S.F.W.	0	22	6.1	2.5045290000000002
26352	A Low Down Dirty Shame	29392418	31	6.0	3.0215259999999997
39953	Boys Life: Three Stories of Love, Lust, and Liberation	0	1	2.0	0.054148
41580	Colonel Chabert	0	9	5.9	0.934312
315	Faster, Pussycat! Kill! Kill!	0	59	6.5	4.220541000000001
22067	Jason's Lyric	20851521	9	5.9	0.912909
18242	The Secret Adventures of Tom Thumb	0	8	7.1	0.381704
11667	Street Fighter	99423521	330	4.1	13.584489999999999
32502	Coldblooded	0	13	6.7	2.342756
267188	Desert Winds	0	0	0.0	0.251223
28732	Fall Time	0	6	6.3	1.108494
75555	The Fear	0	7	3.4	0.268043
42981	Frank and Ollie	0	4	7.5	0.14235699999999998
278939	Girl in the Cadillac	0	1	10.0	0.40539200000000003
291731	Homage	0	0	0.0	0.014925
226229	Mirage	0	1	4.0	0.30295700000000003
203119	Open Season	0	0	0.0	0.012456
172923	Dos Crímenes	0	1	5.0	0.23337600000000003
316098	Brother Minister: The Assassination of Malcolm X	0	1	4.0	0.0368
8011	Highlander: The Final Dimension	36800000	110	4.5	6.8666339999999995
171857	Federal Hill	0	2	5.0	0.100685
2654	In the Mouth of Madness	8946600	307	7.1	8.497643
18069	8 Seconds	0	22	7.2	1.888534
19092	Above the Rim	0	40	6.7	4.38154
2758	Addams Family Values	48919043	537	6.5	17.555909
38129	Martin Lawrence: You So Crazy	0	4	4.5	0.394194
10436	The Age of Innocence	32255440	172	7.0	8.013617
13595	Airheads	0	222	5.8	7.09232
46094	The Air Up There	21011500	42	5.1	1.8962729999999999
9409	Another Stakeout	0	58	4.9	12.967239
11853	Bad Girls	15240435	61	4.6	14.644772
16771	Barcelona	0	20	6.6	1.632711
46924	Being Human	0	15	5.0	2.783872
11041	The Beverly Hillbillies	0	86	5.0	5.673735
306	Beverly Hills Cop III	119208989	445	5.5	11.787784
14522	Black Beauty	0	68	6.6	8.398845
26203	Blink	16668552	45	6.3	3.0028200000000003
178	Blown Away	30156002	126	6.0	13.155071
19819	Blue Chips	0	41	5.7	6.131056
57834	Blue Sky	0	28	6.1	4.993829
4722	Body Snatchers	428868	102	5.8	6.559692999999999
18215	Boxing Helena	1796389	59	4.5	4.304224
1607	A Bronx Tale	17287898	447	7.4	6.115628
26391	Cabin Boy	3662459	28	4.9	1.679042
117553	Calendar Girl	2570145	10	3.7	1.316741
6075	Carlito's Way	36516012	805	7.7	8.698509
11310	City Slickers II: The Legend of Curly's Gold	0	103	4.9	8.605703
18658	Clean Slate	7355425	25	5.7	2.724621
9350	Cliffhanger	255000211	600	6.1	9.830853
9612	Coneheads	0	228	4.8	10.722729
2124	Color of Night	19726050	117	5.4	14.228963
26261	Cops & Robbersons	0	36	5.0	7.042878
19176	The Cowboy Way	0	38	5.1	4.286279
49299	Dangerous Game	0	9	5.4	2.70097
11566	Dave	63000000	205	6.3	13.696394
9571	Dazed and Confused	7993039	588	7.4	6.8652
9739	Demolition Man	159055768	1018	6.4	11.626116
24257	The Endless Summer 2	0	12	7.1	0.408159
34444	Even Cowgirls Get the Blues	0	29	4.2	2.970724
26141	Fatal Instinct	0	37	5.4	3.555139
10997	Farewell My Concubine	0	98	7.8	4.875826999999999
50463	The Favor	0	6	3.3	1.344876
10443	Fearless	0	80	6.8	9.284624
20239	Fear of a Black Hat	0	11	5.8	0.985441
16297	With Honors	0	54	6.1	2.969003
18551	Flesh and Bone	9488998	22	6.2	1.896869
25440	Widows' Peak	0	3	4.3	0.409427
9024	For Love or Money	11146270	77	5.7	8.468869
37233	The Firm	270248367	513	6.6	9.678367
1634	Free Willy	153698625	429	6.0	5.990572
13815	Fresh	0	56	7.6	3.970215
5503	The Fugitive	368875760	1240	7.2	10.089369999999999
35588	Geronimo: An American Legend	18635620	44	5.9	4.653462
2087	The Getaway	30	81	5.4	14.214402999999999
41579	Getting Even with Dad	0	43	4.5	2.410545
18620	Go Fish	0	5	3.9	0.775898
41006	A Good Man in Africa	0	11	5.2	5.22583
4916	Guilty as Sin	22886222	21	5.6	5.385108
2019	Hard Target	74189677	237	6.1	7.834351
31642	Heaven & Earth	0	51	6.4	4.1905410000000005
9255	Hot Shots! Part Deux	133752825	463	6.2	13.482370999999999
26271	Live Nude Girls	0	12	4.7	2.138959
10612	The Englishman Who Went Up a Hill But Came Down a Mountain	0	83	6.1	5.331753
2259	The House of the Spirits	0	135	6.7	10.687795
16097	House Party 3	0	11	4.6	0.9960469999999999
11934	The Hudsucker Proxy	0	280	7.1	7.550545
106143	I'll Do Anything	0	18	5.7	1.7429740000000002
12475	In the Army Now	28881266	54	4.7	6.071466
9386	In the Line of Fire	176997168	392	6.8	12.637158
7984	In the Name of the Father	65796862	363	7.6	7.405895
59930	The Inkwell	8880705	5	3.9	0.6133350000000001
15765	What's Love Got to Do with It	0	75	6.9	14.820882999999998
31643	Jimmy Hollywood	0	17	4.6	4.563989
6	Judgment Night	12136938	79	6.4	5.538671
329	Jurassic Park	920100000	4956	7.6	8.863776
10909	Kalifornia	2395231	209	6.5	8.4337
507	Killing Zoe	418961	111	6.1	4.948569
34024	King of the Hill	0	33	6.4	4.3753470000000005
29918	Lassie	0	54	6.1	3.645342
9593	Last Action Hero	137298489	725	6.1	9.434006
42580	Life With Mikey	0	24	5.1	6.446229
22317	Lightning Jack	0	40	5.7	2.913584
1413	M. Butterfly	1499795	35	6.6	6.5169760000000005
12121	Made in America	0	86	5.3	5.43085
2246	Malice	46405336	105	5.9	9.861672
10502	The Man without a Face	24760338	125	6.2	5.997712
10440	Manhattan Murder Mystery	11285588	169	7.1	8.939404
9516	Menace II Society	27900000	179	7.2	5.260924
2320	Executive Decision	121969216	261	5.8	13.106291
5879	In the Realm of the Senses	0	112	6.5	8.932494
83718	What Happened Was...	0	7	7.0	0.534606
11971	Much Ado About Nothing	0	194	7.2	8.627239999999999
2625	Mr. Jones	0	35	5.9	6.579753
31911	Mr. Wonderful	0	11	5.5	13.011091
788	Mrs. Doubtfire	441286195	1638	7.0	11.16553
21450	Naked	0	105	7.5	8.665198
11231	The Next Karate Kid	15826984	202	4.8	9.9697
41588	The New Age	0	5	4.8	0.5962069999999999
10447	No Escape	15340000	86	6.1	9.715187
31586	North	0	67	4.8	15.534707000000001
9300	Orlando	0	53	6.7	3.800785
9559	A Perfect World	135130999	376	7.2	8.040589
9800	Philadelphia	206678440	1019	7.6	13.373006
713	The Piano	116700000	290	7.1	7.436758
8291	Poetic Justice	27515786	47	6.9	6.972599000000001
18133	The Program	23042200	28	6.0	3.199976
25557	The Puppet Masters	8638072	41	5.6	7.272296000000001
22588	Radioland Murders	0	12	5.8	8.506727
10872	The Ref	11439193	99	6.7	5.868677
1245	The Remains of the Day	23237911	213	7.5	12.222576
11858	Renaissance Man	24332324	83	5.9	4.985157
7007	Rising Sun	107198790	188	5.8	6.279082
10467	The Road to Wellville	0	43	5.5	3.416181
5550	RoboCop 3	10696210	309	4.2	8.685798
8005	Robin Hood: Men in Tights	35739755	575	6.4	17.136672
2088	Romeo Is Bleeding	3275585	36	5.7	9.796318
10412	Romper Stomper	0	126	6.6	5.157926
47889	Ruby in Paradise	1001437	10	5.6	0.941994
14534	Rudy	22750363	187	7.2	5.914833
56583	The Saint of Fort Washington	0	5	4.0	1.065843
41878	Savage Nights	0	11	6.2	1.031556
424	Schindler's List	321365567	4436	8.3	41.725122999999996
35233	The Scout	0	37	5.3	5.7156080000000005
14291	Searching for Bobby Fischer	7266383	100	7.3	12.048587
103413	Second Best	0	8	5.9	0.8825959999999999
11236	The Secret Garden	0	232	7.1	6.499523
11592	Serial Mom	7820688	137	6.4	5.305311
8850	The Shadow	48063435	140	5.4	7.881107000000001
10445	Shadowlands	0	61	6.8	2.9658599999999997
